Time (ms),dTime (ms),Timestamp (ms),Timecode (ms),X resolution,Y resolution,frame type,frame-rate,aspect-ratio,codec
18:26:57.241,0.0,16512568147570960,16512568147570960,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.260,19.0,16512568147770995,16512568147770995,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.281,21.3,16512568147970966,16512568147970966,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.300,18.9,16512568148170976,16512568148170976,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.319,19.3,16512568148370992,16512568148370992,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.340,20.7,16512568148570976,16512568148570976,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.361,20.6,16512568148770947,16512568148770947,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.380,19.2,16512568148970956,16512568148970956,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.400,20.1,16512568149170948,16512568149170948,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.419,18.9,16512568149370954,16512568149370954,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.440,21.4,16512568149570921,16512568149570921,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.460,19.7,16512568149770948,16512568149770948,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.480,20.2,16512568149970959,16512568149970959,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.500,19.6,16512568150170916,16512568150170916,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.520,19.9,16512568150370906,16512568150370906,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.539,19.8,16512568150570918,16512568150570918,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.560,20.2,16512568150770913,16512568150770913,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.580,20.2,16512568150970899,16512568150970899,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.601,20.9,16512568151170877,16512568151170877,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.619,18.5,16512568151370874,16512568151370874,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.640,20.6,16512568151570865,16512568151570865,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.660,20.3,16512568151770876,16512568151770876,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.681,20.5,16512568151970866,16512568151970866,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.700,19.1,16512568152170861,16512568152170861,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.719,19.3,16512568152370856,16512568152370856,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.740,20.5,16512568152570834,16512568152570834,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.761,20.9,16512568152770844,16512568152770844,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.780,19.1,16512568152970843,16512568152970843,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.800,20.3,16512568153170821,16512568153170821,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.819,18.8,16512568153370827,16512568153370827,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.840,21.4,16512568153570799,16512568153570799,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.860,19.4,16512568153770822,16512568153770822,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.880,20.4,16512568153970840,16512568153970840,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.899,19.0,16512568154170799,16512568154170799,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.920,20.4,16512568154370778,16512568154370778,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:57.940,20.0,16512568154570791,16512568154570791,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
